"","site_type","allele_freq","dist_bin","mean_D","mean_r2","mean_D_prime","num_pairs","s_ben","s_del","rho_exp","mu_exp","theta","h_del","h_ben","model","num_sites"
"887","nonsyn","rare",100,0.000711876161353095,0.0502174304027184,-0.860861505501406,68347,0.1,0.001,6,6,0,0.5,0.5,1,10
"888","syn","rare",100,0.00110303743055274,0.0753964467673765,-0.720900163354758,24659,0.1,0.001,6,6,0,0.5,0.5,1,10
"889","nonsyn","int",125,0.00218434196287355,0.11412322872201,-0.617568991107186,12013,0.1,0.001,6,6,0,0.5,0.5,1,10
"890","syn","int",125,0.00364369297731648,0.166637657732501,-0.381051395554485,11947,0.1,0.001,6,6,0,0.5,0.5,1,10
"891","nonsyn","common",125,0.0230927510398099,0.383355648745125,-0.000667382662394872,1683,0.1,0.001,6,6,0,0.5,0.5,1,10
"892","syn","common",125,0.00656705624543462,0.37146349811016,-0.0127849689704871,6845,0.1,0.001,6,6,0,0.5,0.5,1,10
"893","nonsyn","rare",125,0.000692412568426305,0.0488116241278552,-0.860022984492515,68139,0.1,0.001,6,6,0,0.5,0.5,1,10
"894","syn","rare",125,0.000889901628637904,0.0668215527285237,-0.738160737702846,24499,0.1,0.001,6,6,0,0.5,0.5,1,10
"895","nonsyn","int",150,0.00246907992718848,0.113279036021308,-0.606137845792721,12086,0.1,0.001,6,6,0,0.5,0.5,1,10
"896","syn","int",150,0.00322511403953371,0.150141070239844,-0.39980589997039,11838,0.1,0.001,6,6,0,0.5,0.5,1,10
"897","nonsyn","common",150,0.0184027152317881,0.328670775897826,-0.0221134642375123,1510,0.1,0.001,6,6,0,0.5,0.5,1,10
"898","syn","common",150,0.00785278030993619,0.335144630131984,-0.00609392458278688,6582,0.1,0.001,6,6,0,0.5,0.5,1,10
"899","nonsyn","rare",150,0.000607347178395832,0.0458396666167597,-0.866078658722575,68135,0.1,0.001,6,6,0,0.5,0.5,1,10
"900","syn","rare",150,0.000912080536912752,0.0648953264793913,-0.729977102466215,24436,0.1,0.001,6,6,0,0.5,0.5,1,10
"901","nonsyn","int",175,0.00221220041753653,0.103786655425444,-0.607570566210642,11975,0.1,0.001,6,6,0,0.5,0.5,1,10
"902","syn","int",175,0.00334920689359513,0.137873296509117,-0.385847218807659,11663,0.1,0.001,6,6,0,0.5,0.5,1,10
"903","nonsyn","common",175,0.0130481738035264,0.306154769170801,-0.0416155763497713,1588,0.1,0.001,6,6,0,0.5,0.5,1,10
"904","syn","common",175,0.00860772165420418,0.304976498258011,0.00177722473034129,6553,0.1,0.001,6,6,0,0.5,0.5,1,10
"905","nonsyn","rare",175,0.00062661232493817,0.0455770134021712,-0.866232737199164,68333,0.1,0.001,6,6,0,0.5,0.5,1,10
"906","syn","rare",175,0.000859911059869884,0.0608753727307573,-0.742043219865604,24286,0.1,0.001,6,6,0,0.5,0.5,1,10
"907","nonsyn","int",200,0.00262440819740694,0.105905036051929,-0.594703966947528,11955,0.1,0.001,6,6,0,0.5,0.5,1,10
"908","syn","int",200,0.00309269638322095,0.128244605806615,-0.383338585795604,11419,0.1,0.001,6,6,0,0.5,0.5,1,10
"909","nonsyn","common",200,0.0174933014354067,0.298996230466208,-0.00766582266793251,1463,0.1,0.001,6,6,0,0.5,0.5,1,10
"910","syn","common",200,0.00884165106117353,0.278515114881574,0.00581443164095595,6408,0.1,0.001,6,6,0,0.5,0.5,1,10
"911","nonsyn","rare",200,0.000572652683800326,0.0435961191362827,-0.869582166511365,68131,0.1,0.001,6,6,0,0.5,0.5,1,10
"912","syn","rare",200,0.000803252503517338,0.0589540982283775,-0.741807874359659,24166,0.1,0.001,6,6,0,0.5,0.5,1,10
"913","nonsyn","int",250,0.00224552317489773,0.0946559783439243,-0.598047605540536,23711,0.1,0.001,6,6,0,0.5,0.5,1,10
"914","syn","int",250,0.00264193154567255,0.116118233972525,-0.39079645284916,22935,0.1,0.001,6,6,0,0.5,0.5,1,10
"915","nonsyn","common",250,0.0212168293503871,0.281612378311836,0.00965086243326596,2971,0.1,0.001,6,6,0,0.5,0.5,1,10
