"","dist_bin","s_focal","s_del","delta_r2","demography"
"115",700,0,0.001,0.0124878639686736,"none"
"116",750,0,0.001,0.0111671213656962,"none"
"117",800,0,0.001,0.0063237519941195,"none"
"118",850,0,0.001,-0.00203373165349961,"none"
"119",900,0,0.001,-0.000615345595145096,"none"
"120",950,0,0.001,0.000954372933324198,"none"
"121",1000,0,0.001,-0.0031801299043842,"none"
"122",1050,0,0.001,0.0055462263042384,"none"
"123",1100,0,0.001,0.0032982177621333,"none"
"124",1150,0,0.001,-0.000289125473616203,"none"
"125",1200,0,0.001,-0.000126787322636296,"none"
"126",1300,0,0.001,0.0040549073746218,"none"
"127",1400,0,0.001,0.0013913217440756,"none"
"128",1500,0,0.001,0.0014805787666591,"none"
"129",1600,0,0.001,0.0030123820472731,"none"
"130",1700,0,0.001,0.0039136427762824,"none"
"131",1800,0,0.001,0.0035127156236767,"none"
"132",1900,0,0.001,0.000776464126255698,"none"
"133",2000,0,0.001,-0.0012042902086567,"none"
"134",2500,0,0.001,0.000723616731533101,"none"
"135",3000,0,0.001,-8.51202470318994e-05,"none"
"136",3500,0,0.001,0.0013434667894617,"none"
"137",4000,0,0.001,-8.42912895734974e-05,"none"
"138",4500,0,0.001,-0.000550453831905898,"none"
"139",5000,0,0.001,-0.000116320021248902,"none"
"140",7500,0,0.001,-0.0002847645920795,"none"
"141",10000,0,0.001,-0.000258257996954,"none"
"142",10,0.01,0.001,-0.134239065803745,"none"
"143",15,0.01,0.001,-0.115295682693462,"none"
"144",20,0.01,0.001,-0.105965223555054,"none"
"145",25,0.01,0.001,-0.096447145731917,"none"
"146",50,0.01,0.001,-0.078652840304058,"none"
"147",75,0.01,0.001,-0.046437386129386,"none"
"148",100,0.01,0.001,-0.03208021088866,"none"
"149",125,0.01,0.001,-0.00958286724749502,"none"
"150",150,0.01,0.001,0.00169350657933898,"none"
"151",175,0.01,0.001,0.016601221361872,"none"
"152",200,0.01,0.001,0.017104103518368,"none"
"153",250,0.01,0.001,0.023428351000871,"none"
"154",300,0.01,0.001,0.029259624687381,"none"
"155",350,0.01,0.001,0.033693525867103,"none"
"156",400,0.01,0.001,0.035716211131596,"none"
"157",450,0.01,0.001,0.035205828483405,"none"
"158",500,0.01,0.001,0.037872181601947,"none"
"159",550,0.01,0.001,0.030055206661968,"none"
"160",600,0.01,0.001,0.033245092907038,"none"
"161",650,0.01,0.001,0.029975152872005,"none"
"162",700,0.01,0.001,0.0290467046149472,"none"
"163",750,0.01,0.001,0.027483763092137,"none"
"164",800,0.01,0.001,0.0266299514535813,"none"
"165",850,0.01,0.001,0.0232387743901586,"none"
"166",900,0.01,0.001,0.0245980591588976,"none"
"167",950,0.01,0.001,0.0240825756375725,"none"
"168",1000,0.01,0.001,0.0211246475109039,"none"
"169",1050,0.01,0.001,0.0201986574139922,"none"
"170",1100,0.01,0.001,0.0188191040828049,"none"
"171",1150,0.01,0.001,0.0180723970946816,"none"
"172",1200,0.01,0.001,0.0165191251447282,"none"
"173",1300,0.01,0.001,0.0153321228335944,"none"
"174",1400,0.01,0.001,0.01353447162628,"none"
"175",1500,0.01,0.001,0.0124421782839825,"none"
"176",1600,0.01,0.001,0.0109616731559231,"none"
"177",1700,0.01,0.001,0.0099127058778362,"none"
"178",1800,0.01,0.001,0.0083555828059234,"none"
"179",1900,0.01,0.001,0.0074403897472122,"none"
"180",2000,0.01,0.001,0.0063646017471365,"none"
"181",2500,0.01,0.001,0.0054548887699991,"none"
"182",3000,0.01,0.001,0.0033169388004081,"none"
"183",3500,0.01,0.001,0.0021838557639197,"none"
"184",4000,0.01,0.001,0.0014530317228782,"none"
"185",4500,0.01,0.001,0.0010370982658958,"none"
"186",5000,0.01,0.001,0.000872495029913798,"none"
"187",7500,0.01,0.001,0.000496771054111401,"none"
"188",10000,0.01,0.001,0.000468073732192199,"none"
"189",10,0.05,0.001,-0.102916571429555,"none"
"190",15,0.05,0.001,-0.08518644116199,"none"
"191",20,0.05,0.001,-0.0789165561472209,"none"
"192",25,0.05,0.001,-0.0616668615902349,"none"
"193",50,0.05,0.001,-0.041113287013424,"none"
"194",75,0.05,0.001,-0.00482275585304692,"none"
"195",100,0.05,0.001,0.019631864409391,"none"
"196",125,0.05,0.001,0.042885430439654,"none"
"197",150,0.05,0.001,0.055764888422534,"none"
"198",175,0.05,0.001,0.062602022563885,"none"
"199",200,0.05,0.001,0.08544374649072,"none"
"200",250,0.05,0.001,0.090324319572817,"none"
"201",300,0.05,0.001,0.102896283535696,"none"
"202",350,0.05,0.001,0.105110793976561,"none"
"203",400,0.05,0.001,0.11136302504133,"none"
"204",450,0.05,0.001,0.113661392306035,"none"
"205",500,0.05,0.001,0.114137009447791,"none"
"206",550,0.05,0.001,0.116037984770413,"none"
"207",600,0.05,0.001,0.116767313092801,"none"
"208",650,0.05,0.001,0.118191528260833,"none"
"209",700,0.05,0.001,0.11461752503437,"none"
"210",750,0.05,0.001,0.115445048274816,"none"
"211",800,0.05,0.001,0.114205775462939,"none"
"212",850,0.05,0.001,0.111217042237563,"none"
"213",900,0.05,0.001,0.109961427618667,"none"
"214",950,0.05,0.001,0.106288394957384,"none"
"215",1000,0.05,0.001,0.103179463352075,"none"
"216",1050,0.05,0.001,0.101715177606246,"none"
"217",1100,0.05,0.001,0.097588525168331,"none"
"218",1150,0.05,0.001,0.100031841926173,"none"
"219",1200,0.05,0.001,0.098845180684482,"none"
"220",1300,0.05,0.001,0.092205255113798,"none"
"221",1400,0.05,0.001,0.089337536541344,"none"
"222",1500,0.05,0.001,0.087353052050431,"none"
"223",1600,0.05,0.001,0.083889420521642,"none"
"224",1700,0.05,0.001,0.080519593172938,"none"
"225",1800,0.05,0.001,0.076720031638139,"none"
"226",1900,0.05,0.001,0.074106558418249,"none"
"227",2000,0.05,0.001,0.07228226167932,"none"
"228",2500,0.05,0.001,0.0630378421210565,"none"
"229",3000,0.05,0.001,0.0517050418362969,"none"
"230",3500,0.05,0.001,0.0413533073380651,"none"
